Species,Kingdom,Phylum,Class,Order,Family,System
Acanthophora spicifera,Plantae,Rhodophyta,Florideophiceae,Ceramiales,Rhodomelaceae,Marine
Bugula neritina,Animalia,Ectoprocta,Gymnolaemata,Cheilostomata,Bugulidae,Marine
Caulerpa taxifolia,Plantae,Chlorophyta,Chlorophyceae,Caulerpales,Caulerpaceae,Marine
Caulerpa webbiana,Plantae,Chlorophyta,Chlorophyceae,Caulerpales,Caulerpaceae,Marine
Gymnodinium catenatum,Plantae,Pyrrophycophyta,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Marine
Hypnea musciformis,Plantae,Rhodophycota,Rhodophyceae,Gigartinales,Hypneaceae,Marine
Perna viridis,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,Marine
Phyllorhiza punctata,Animalia,Cnidaria,Scyphozoa,Rhizostomeae,Mastigiidae,Marine
Pterois volitans,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Scorpaenidae,Marine
Sargassum fluitans,Plantae,Phaeophycophyta,Phaeophyceae,Fucales,Sargassaceae,Marine
Styela plicata,Animalia,Chordata,Ascidiacea,Pleurogona,Styelidae,Marine
Trididemnum solidum,Animalia,Chordata,Ascidiacea,Enterogona,Didemnidae,Marine
Tubastraea coccinea,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Marine
Watersipora subtorquata,Animalia,Ectoprocta,Gymnolaemata,Cheilostomata,Watersiporidae,Marine
